  reported      58%   (battery service)
  charger       not charging   (P0.17 ~CHG)
  computed      3,789 mV -> 58%
  at the pin    1,280 mV   (1,457 raw counts)
  divider off   3,956 raw counts
  control       3,301 mV for the 3.3V rail   (ADC is sound)
  divider       P0.14 LOW - enabled
  errors        none

  >> the gauge is reading the cell

  sampling every 5 min for 1440 min, every 1 min below 3,600 mV

  14:46:59  t+ 287.4min  3,736 mV   48%  on cell   (pin 1,262 mV, vdd 3,302 mV)
  14:52:02  t+ 292.4min  3,665 mV   40%  on cell   (pin 1,238 mV, vdd 3,304 mV)
  14:57:04  t+ 297.5min  3,700 mV   44%  on cell   (pin 1,250 mV, vdd 3,300 mV)
  15:02:06  t+ 302.5min  3,671 mV   41%  on cell   (pin 1,240 mV, vdd 3,301 mV)
  15:07:12  t+ 307.6min  3,659 mV   39%  on cell   (pin 1,236 mV, vdd 3,303 mV)
  15:12:13  t+ 312.6min  3,703 mV   45%  on cell   (pin 1,251 mV, vdd 3,300 mV)
  15:17:15  t+ 317.6min  3,677 mV   42%  on cell   (pin 1,242 mV, vdd 3,304 mV)
  15:22:17  t+ 322.7min  3,730 mV   48%  on cell   (pin 1,260 mV, vdd 3,301 mV)
  15:27:20  t+ 327.7min  3,718 mV   46%  on cell   (pin 1,256 mV, vdd 3,293 mV)
  15:32:24  t+ 332.8min  3,689 mV   43%  on cell   (pin 1,246 mV, vdd 3,311 mV)
  15:37:27  t+ 337.8min  3,662 mV   40%  on cell   (pin 1,237 mV, vdd 3,302 mV)
  15:42:33  t+ 342.9min  3,683 mV   42%  on cell   (pin 1,244 mV, vdd 3,301 mV)
  15:47:35  t+ 348.0min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,303 mV)
  15:52:38  t+ 353.0min  3,695 mV   44%  on cell   (pin 1,248 mV, vdd 3,305 mV)
  15:57:40  t+ 358.1min  3,665 mV   40%  on cell   (pin 1,238 mV, vdd 3,301 mV)
  16:02:43  t+ 363.1min  3,665 mV   40%  on cell   (pin 1,238 mV, vdd 3,300 mV)
  16:07:46  t+ 368.2min  3,686 mV   43%  on cell   (pin 1,245 mV, vdd 3,302 mV)
  16:12:49  t+ 373.2min  3,695 mV   44%  on cell   (pin 1,248 mV, vdd 3,298 mV)
  16:17:51  t+ 378.2min  3,677 mV   42%  on cell   (pin 1,242 mV, vdd 3,303 mV)
  16:22:52  t+ 383.3min  3,656 mV   39%  on cell   (pin 1,235 mV, vdd 3,302 mV)
  16:27:53  t+ 388.3min  3,695 mV   44%  on cell   (pin 1,248 mV, vdd 3,295 mV)
  16:32:55  t+ 393.3min  3,709 mV   45%  on cell   (pin 1,253 mV, vdd 3,296 mV)
  16:37:57  t+ 398.3min  3,668 mV   41%  on cell   (pin 1,239 mV, vdd 3,304 mV)
  16:42:59  t+ 403.4min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,295 mV)
  16:48:00  t+ 408.4min  3,689 mV   43%  on cell   (pin 1,246 mV, vdd 3,304 mV)
  16:53:03  t+ 413.4min  3,668 mV   41%  on cell   (pin 1,239 mV, vdd 3,304 mV)
  16:58:05  t+ 418.5min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,299 mV)
  17:03:08  t+ 423.5min  3,626 mV   32%  on cell   (pin 1,225 mV, vdd 3,297 mV)
  17:08:10  t+ 428.6min  3,674 mV   41%  on cell   (pin 1,241 mV, vdd 3,301 mV)
  17:13:14  t+ 433.6min  3,671 mV   41%  on cell   (pin 1,240 mV, vdd 3,302 mV)
  17:18:16  t+ 438.7min  3,662 mV   40%  on cell   (pin 1,237 mV, vdd 3,308 mV)
  17:23:18  t+ 443.7min  3,674 mV   41%  on cell   (pin 1,241 mV, vdd 3,298 mV)
  17:28:20  t+ 448.7min  3,641 mV   35%  on cell   (pin 1,230 mV, vdd 3,302 mV)
  17:33:23  t+ 453.8min  3,674 mV   41%  on cell   (pin 1,241 mV, vdd 3,296 mV)
  17:38:25  t+ 458.8min  3,695 mV   44%  on cell   (pin 1,248 mV, vdd 3,305 mV)
  17:43:28  t+ 463.9min  3,674 mV   41%  on cell   (pin 1,241 mV, vdd 3,306 mV)
  17:48:30  t+ 468.9min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,297 mV)
  17:53:33  t+ 473.9min  3,680 mV   42%  on cell   (pin 1,243 mV, vdd 3,305 mV)
  17:58:35  t+ 479.0min  3,644 mV   36%  on cell   (pin 1,231 mV, vdd 3,303 mV)
  18:03:38  t+ 484.0min  3,659 mV   39%  on cell   (pin 1,236 mV, vdd 3,305 mV)
  18:08:40  t+ 489.1min  3,668 mV   41%  on cell   (pin 1,239 mV, vdd 3,301 mV)
  18:13:43  t+ 494.1min  3,653 mV   38%  on cell   (pin 1,234 mV, vdd 3,303 mV)
  18:18:44  t+ 499.1min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,313 mV)
  18:23:46  t+ 504.2min  3,659 mV   39%  on cell   (pin 1,236 mV, vdd 3,298 mV)
  18:28:50  t+ 509.2min  3,677 mV   42%  on cell   (pin 1,242 mV, vdd 3,299 mV)
  18:33:52  t+ 514.3min  3,641 mV   35%  on cell   (pin 1,230 mV, vdd 3,299 mV)
  18:38:55  t+ 519.3min  3,644 mV   36%  on cell   (pin 1,231 mV, vdd 3,300 mV)
  18:43:58  t+ 524.3min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,304 mV)
  18:49:00  t+ 529.4min  3,656 mV   39%  on cell   (pin 1,235 mV, vdd 3,289 mV)
  18:54:01  t+ 534.4min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,298 mV)
  18:59:04  t+ 539.4min  3,600 mV   28%  on cell   (pin 1,216 mV, vdd 3,304 mV)
  19:04:07  t+ 544.5min  3,653 mV   38%  on cell   (pin 1,234 mV, vdd 3,296 mV)
  19:09:09  t+ 549.5min  3,597 mV   28%  on cell   (pin 1,215 mV, vdd 3,304 mV)
  -- under 3,600 mV, tightening to 1 min
  19:10:11  t+ 550.6min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,299 mV)
  19:11:14  t+ 551.6min  3,609 mV   29%  on cell   (pin 1,219 mV, vdd 3,311 mV)
  19:12:16  t+ 552.7min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,308 mV)
  19:13:18  t+ 553.7min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,298 mV)
  19:14:21  t+ 554.7min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,299 mV)
  19:15:23  t+ 555.8min  3,692 mV   43%  on cell   (pin 1,247 mV, vdd 3,305 mV)
  19:16:24  t+ 556.8min  3,653 mV   38%  on cell   (pin 1,234 mV, vdd 3,296 mV)
  19:17:27  t+ 557.8min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,304 mV)
  19:18:28  t+ 558.9min  3,632 mV   33%  on cell   (pin 1,227 mV, vdd 3,304 mV)
  19:19:33  t+ 559.9min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,295 mV)
  19:20:34  t+ 561.0min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,303 mV)
  19:21:36  t+ 562.0min  3,644 mV   36%  on cell   (pin 1,231 mV, vdd 3,296 mV)
